,Unnamed: 0,Date,Close,Open,High,Low,Volume,Change,Kospi_Close,Kospi_Volume,Dow_Close,Dow_Volume,SP_Close,SSEC_Close,SSEC_Volume,EU_Close,EU_Volume,DE_Close,DE_Volume,FR_Close,FR_Volume,Gold_Close,Gold_Volume,Gas_Close,Gas_Volume,Oil_Close,oil_Volume,HG_Close,HG_Volume,JP_Close,JP_Volume,Bond_1m_Close,Bond_6m_Close,Bond_1y_Close,Bond_5y_Close,Bond_10y_Close,Bond_30y_Close,usd_krw_Close,usd_rub_Close,usd_eur_Close,VIX_Close
684,684,2020-01-05,0.0346,0.0344,0.0353,0.0342,216710000.0,0.0073,2176.46,631560000.0,28634.88,239590000.0,3234.85,3083.79,26150000000.0,3773.37,30340000.0,13219.14,80790000.0,6044.16,60490000.0,1552.4,436740.0,2.13,144670.0,63.05,885860.0,2.8395,2740.0,23656.62,415900000.0,1.5243,1.5648,1.558,1.5684,1.767,2.227,1164.95,62.0922,0.8958,14.02
685,685,2020-01-06,0.0373,0.0346,0.0373,0.0344,343250000.0,0.0779,2155.07,592670000.0,28703.38,261810000.0,3246.28,3083.41,31260000000.0,3752.52,28340000.0,13126.99,71780000.0,6013.59,69060000.0,1568.8,558970.0,2.135,154680.0,63.27,724240.0,2.8415,2410.0,23204.86,728300000.0,1.532,1.554,1.548,1.6074,1.809,2.285,1166.94,61.8227,0.8929,13.85
686,686,2020-01-07,0.037,0.0373,0.038,0.0364,544890000.0,-0.0073,2175.54,568240000.0,28583.68,266680000.0,3237.18,3104.8,27660000000.0,3759.25,29850000.0,13226.83,78280000.0,6012.35,69590000.0,1574.3,435870.0,2.162,163010.0,62.7,582650.0,2.8475,5040.0,23575.72,642510000.0,1.514,1.555,1.537,1.6041,1.811,2.296,1167.3,61.8227,0.8964,13.79
687,687,2020-01-08,0.0363,0.037,0.0387,0.0358,563230000.0,-0.0196,2151.31,913830000.0,28745.09,296430000.0,3253.05,3066.89,29790000000.0,3772.56,34990000.0,13320.18,88180000.0,6031.0,71430000.0,1560.2,813410.0,2.141,242560.0,59.61,1210000.0,2.862,8150.0,23204.76,794100000.0,1.504,1.555,1.54,1.6645,1.874,2.363,1162.25,61.2437,0.9003,13.45
688,688,2020-01-09,0.0362,0.0363,0.0363,0.0355,285350000.0,-0.0044,2186.45,592600000.0,28956.9,282850000.0,3274.7,3094.88,24340000000.0,3795.88,33480000.0,13495.06,86970000.0,6042.55,67960000.0,1554.3,372880.0,2.166,230030.0,59.56,750930.0,2.8545,7650.0,23739.87,621910000.0,1.519,1.552,1.537,1.6514,1.855,2.329,1158.72,61.283,0.9003,12.54
689,689,2020-01-10,0.0369,0.0362,0.0371,0.0347,341990000.0,0.0212,2206.39,594540000.0,28823.77,239170000.0,3265.35,3092.29,21040000000.0,3789.52,27400000.0,13483.31,77940000.0,6037.11,64390000.0,1560.1,344340.0,2.202,282650.0,59.04,596190.0,2.8665,3380.0,23850.57,558610000.0,1.522,1.547,1.524,1.6332,1.82,2.279,1157.97,61.0548,0.899,12.56
690,690,2020-01-11,0.0367,0.0369,0.0378,0.0365,255790000.0,-0.0052,2206.39,594540000.0,28823.77,239170000.0,3265.35,3092.29,21040000000.0,3789.52,27400000.0,13483.31,77940000.0,6037.11,64390000.0,1560.1,344340.0,2.202,282650.0,59.04,596190.0,2.8665,3380.0,23850.57,558610000.0,1.522,1.547,1.524,1.6332,1.82,2.279,1157.97,61.0548,0.899,12.56
691,691,2020-01-12,0.0379,0.0367,0.0379,0.0366,209270000.0,0.0308,2206.39,594540000.0,28823.77,239170000.0,3265.35,3092.29,21040000000.0,3789.52,27400000.0,13483.31,77940000.0,6037.11,64390000.0,1560.1,344340.0,2.202,282650.0,59.04,596190.0,2.8665,3380.0,23850.57,558610000.0,1.5218,1.5493,1.5264,1.6332,1.82,2.279,1157.97,61.0548,0.899,12.56
692,692,2020-01-13,0.0368,0.0379,0.0379,0.0367,177960000.0,-0.0271,2229.26,488290000.0,28907.05,263020000.0,3288.13,3115.57,21060000000.0,3779.68,27510000.0,13451.52,67210000.0,6036.14,65190000.0,1550.6,311730.0,2.182,232950.0,58.08,584000.0,2.912,4330.0,23850.57,558610000.0,1.527,1.573,1.532,1.6511,1.848,2.304,1153.95,61.2727,0.8979,12.32
693,693,2020-01-14,0.0417,0.0368,0.0427,0.0368,889670000.0,0.1315,2238.88,835900000.0,28939.67,296040000.0,3283.15,3106.82,23000000000.0,3774.88,33070000.0,13456.49,74560000.0,6040.89,75440000.0,1544.6,340910.0,2.187,281850.0,58.23,507710.0,2.927,4780.0,24025.17,642330000.0,1.529,1.57,1.534,1.6183,1.813,2.272,1157.2,61.4394,0.8984,12.39
694,694,2020-01-15,0.0428,0.0417,0.0432,0.0401,771220000.0,0.026,2230.98,746160000.0,29030.22,263430000.0,3289.29,3090.04,20230000000.0,3768.96,33410000.0,13432.3,72050000.0,6032.61,79850000.0,1554.0,310070.0,2.12,218920.0,57.81,433170.0,2.92,3360.0,23916.58,571550000.0,1.534,1.573,1.544,1.6018,1.786,2.238,1157.91,61.4315,0.8966,12.42
695,695,2020-01-16,0.0416,0.0428,0.0433,0.0402,429250000.0,-0.0264,2248.05,808330000.0,29297.64,252110000.0,3316.81,3074.08,20340000000.0,3774.14,17580000.0,13429.43,39610000.0,6039.03,76030000.0,1550.5,260050.0,2.077,206420.0,58.52,182870.0,2.8985,7190.0,23933.13,553630000.0,1.514,1.562,1.547,1.6247,1.809,2.258,1159.73,61.6574,0.8977,12.32
